Role,Speed,Endpoint 1 Name,Endpoint 1 Type,Endpoint 1 Interface ID,Endpoint 1 Interface Name,Endpoint 1 IP,Endpoint 2 Name,Endpoint 2 Type,Endpoint 2 Interface ID,Endpoint 2 Interface Name,Endpoint 2 IP,Rack
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/0:0,10.0.0.2/31,sys001_001_001,Server,,nic-00,10.0.0.3/31,Rack_00_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/0:1,10.0.0.4/31,sys001_001_002,Server,,nic-00,10.0.0.5/31,Rack_00_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/1:0,10.0.0.6/31,sys001_001_003,Server,,nic-00,10.0.0.7/31,Rack_00_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/1:1,10.0.0.8/31,sys001_001_004,Server,,nic-00,10.0.0.9/31,Rack_00_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/2:0,10.0.0.10/31,sys001_001_005,Server,,nic-00,10.0.0.11/31,Rack_00_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/2:1,10.0.0.12/31,sys001_001_006,Server,,nic-00,10.0.0.13/31,Rack_00_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/3:0,10.0.0.14/31,sys001_001_007,Server,,nic-00,10.0.0.15/31,Rack_00_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/3:1,10.0.0.16/31,sys001_001_008,Server,,nic-00,10.0.0.17/31,Rack_00_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/4:0,10.0.0.18/31,sys001_001_009,Server,,nic-00,10.0.0.19/31,Rack_00_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/4:1,10.0.0.20/31,sys001_001_010,Server,,nic-00,10.0.0.21/31,Rack_00_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/5:0,10.0.0.22/31,sys001_001_011,Server,,nic-00,10.0.0.23/31,Rack_00_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/5:1,10.0.0.24/31,sys001_001_012,Server,,nic-00,10.0.0.25/31,Rack_00_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/6:0,10.0.0.26/31,sys001_001_013,Server,,nic-00,10.0.0.27/31,Rack_01_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/6:1,10.0.0.28/31,sys001_001_014,Server,,nic-00,10.0.0.29/31,Rack_01_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/7:0,10.0.0.30/31,sys001_001_015,Server,,nic-00,10.0.0.31/31,Rack_01_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/7:1,10.0.0.32/31,sys001_001_016,Server,,nic-00,10.0.0.33/31,Rack_01_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/8:0,10.0.0.34/31,sys001_001_017,Server,,nic-00,10.0.0.35/31,Rack_01_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/8:1,10.0.0.36/31,sys001_001_018,Server,,nic-00,10.0.0.37/31,Rack_01_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/9:0,10.0.0.38/31,sys001_001_019,Server,,nic-00,10.0.0.39/31,Rack_01_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/9:1,10.0.0.40/31,sys001_001_020,Server,,nic-00,10.0.0.41/31,Rack_01_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/10:0,10.0.0.42/31,sys001_001_021,Server,,nic-00,10.0.0.43/31,Rack_01_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/10:1,10.0.0.44/31,sys001_001_022,Server,,nic-00,10.0.0.45/31,Rack_01_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/11:0,10.0.0.46/31,sys001_001_023,Server,,nic-00,10.0.0.47/31,Rack_01_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/11:1,10.0.0.48/31,sys001_001_024,Server,,nic-00,10.0.0.49/31,Rack_01_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/12:0,10.0.0.50/31,sys001_001_025,Server,,nic-00,10.0.0.51/31,Rack_02_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/12:1,10.0.0.52/31,sys001_001_026,Server,,nic-00,10.0.0.53/31,Rack_02_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/13:0,10.0.0.54/31,sys001_001_027,Server,,nic-00,10.0.0.55/31,Rack_02_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/13:1,10.0.0.56/31,sys001_001_028,Server,,nic-00,10.0.0.57/31,Rack_02_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/14:0,10.0.0.58/31,sys001_001_029,Server,,nic-00,10.0.0.59/31,Rack_02_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/14:1,10.0.0.60/31,sys001_001_030,Server,,nic-00,10.0.0.61/31,Rack_02_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/15:0,10.0.0.62/31,sys001_001_031,Server,,nic-00,10.0.0.63/31,Rack_02_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/15:1,10.0.0.64/31,sys001_001_032,Server,,nic-00,10.0.0.65/31,Rack_02_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/16:0,10.0.0.66/31,sys001_001_033,Server,,nic-00,10.0.0.67/31,Rack_02_PoD_01
Leaf to Server,400G,leaf001_001_1,Leaf,,et-0/0/16:1,10.0.0.68/31,sys001_001_034,Server,,nic-00,10.0.0.69/31,Rack_02_PoD_01
